"PheCode","CUI"
"110_","C0011636|C0011640|C0153246|C1395264|C0153248|C0040261|C0040259|C0011638|C0546826|C0011630|C0040262|C0152067|C0040249|C0153249|C0029763"
"110_1","C0011640|C0153246|C1395264|C0153248|C0011636|C0040261|C0040259|C0011638|C0546826"
"110_11","C0040261"
"110_12","C0040259"
"110_13","C0011638|C0546826"
"110_2","C0011630|C0040262|C0152067|C0040249|C0153249|C0029763"
"1100_","C2911243|C0241889"
"112_","C0006840|C0006849|C0700345|C0153250|C0153252|C0153253|C0153255|C0239295|C0858895|C0006842|C0343886"
"112_3","C0006842"
"117_","C0343846|C0035469|C0038034|C0008582|C2350621|C0010414|C0153285|C0043541|C0276721|C0029511|C0029119|C0019655|C0153261|C0153262|C0153263|C0153264|C0153265|C0153266|C1261318|C0153268|C0220977|C0153270|C0153271|C0153272|C0153273|C0153274|C0153275|C0153276|C0677640|C0153277|C0153278|C0153279|C0153281|C0019657|C0009186|C0700644|C0343891|C0005716|C0030409|C0152066|C0004030|C0004031|C0026946"
"117_1","C0019655|C0153261|C0153262|C0153263|C0153264|C0153265|C0153266|C1261318|C0153268|C0220977|C0153270|C0153271|C0153272|C0153273|C0153274|C0153275|C0153276|C0677640|C0153277|C0153278|C0153279|C0153281|C0019657"
"117_2","C0009186|C0700644|C0343891"
"117_3","C0005716|C0030409|C0152066"
"117_4","C0004030|C0004031"
"130_","C0035021|C0152061|C0035022|C0023364|C0043102|C0153231|C1527368|C0043388|C0275990|C0153234|C0153235|C0276001|C0276007|C0276009|C0343834|C0153239|C0153240|C0031946|C0153241|C0153242|C0153243|C0153244|C0153245|C0004945|C0029830|C0037974|C0024198|C0017575"
"130_1","C0024198"
"131_","C0040558|C0400895|C0153312|C0343816|C0040921|C0040928|C2945558|C0153314|C0153315|C0153316|C0040926|C0033740"
"132_","C0026229|C0036262|C0029482|C0153322|C0027030|C0153323|C0153324|C0851341|C0153317|C0030757|C0030758|C0030759|C0277351|C0030756"
"132_1","C0153317|C0030757|C0030758|C0030759|C0277351|C0030756"
