l,r,CCS
B4149,B4149,223
B4150,B4150,223
B4151,B4151,223
B4152,B4152,223
B4153,B4153,223
B4154,B4154,223
B4155,B4155,223
B4156,B4156,223
B4157,B4157,223
B4158,B4158,223
B4159,B4159,223
B4160,B4160,223
B4161,B4161,223
B4162,B4162,223
B4164,B4164,223
B4168,B4168,223
B4172,B4172,223
B4176,B4176,223
B4178,B4178,223
B4180,B4180,223
B4184,B4184,223
B4185,B4185,223
B4186,B4186,223
B4189,B4189,223
B4193,B4193,223
B4197,B4197,223
B4199,B4199,223
B4216,B4216,223
B4220,B4220,223
B4222,B4222,223
B4224,B4224,223
B5000,B5000,223
B5100,B5100,223
B5200,B5200,223
B9000,B9000,243
B9002,B9002,243
B9004,B9004,243
B9006,B9006,243
B9998,B9998,243
B9999,B9999,243
C1000,C1000,243
C1001,C1001,243
C1003,C1003,243
C1004,C1004,243
C1005,C1005,241
C1006,C1006,241
C1007,C1007,243
C1008,C1008,243
C1009,C1009,222
C1010,C1010,222
C1011,C1011,222
C1012,C1012,222
C1013,C1013,222
C1014,C1014,222
C1015,C1015,222
C1016,C1016,222
C1017,C1017,222
C1018,C1018,222
C1019,C1019,222
C1020,C1020,222
C1021,C1021,222
C1022,C1022,222
C1024,C1024,240
C1025,C1025,243
C1026,C1026,243
C1027,C1027,243
C1028,C1028,243
C1029,C1029,243
C1030,C1030,243
C1031,C1031,243
C1033,C1033,243
C1034,C1034,243
C1035,C1035,243
C1036,C1036,243
C1037,C1037,243
C1038,C1038,243
C1039,C1039,243
C1040,C1040,243
C1042,C1042,243
C1043,C1043,243
C1045,C1045,243
C1047,C1047,243
C1048,C1048,243
C1050,C1050,243
C1051,C1051,243
C1053,C1053,243
C1054,C1054,243
C1055,C1055,243
C1056,C1056,243
C1057,C1057,243
C1058,C1058,243
C1059,C1059,243
C1060,C1060,243
C1061,C1061,243
C1063,C1063,243
C1064,C1064,243
C1065,C1065,243
C1066,C1066,243
C1067,C1067,243
C1068,C1068,243
C1069,C1069,243
C1071,C1071,243
C1072,C1072,243
C1073,C1073,243
C1074,C1074,243
C1075,C1075,243
C1076,C1076,243
C1077,C1077,243
C1078,C1078,243
C1079,C1079,243
C1080,C1080,243
C1081,C1081,243
C1082,C1082,243
C1083,C1083,243
C1084,C1084,240
C1086,C1086,240
C1087,C1087,243
C1088,C1088,20
C1089,C1089,243
C1090,C1090,243
C1091,C1091,243
C1092,C1092,243
C1093,C1093,243
C1094,C1094,243
C1095,C1095,243
C1096,C1096,243
C1097,C1097,243
C1098,C1098,243
C1099,C1099,243
C1100,C1100,243
C1101,C1101,243
C1102,C1102,243
C1103,C1103,243
C1104,C1104,243
C1105,C1105,243
C1106,C1106,243
C1107,C1107,243
C1109,C1109,243
C1110,C1110,243
C1111,C1111,243
C1112,C1112,243
C1113,C1113,243
C1114,C1114,243
C1115,C1115,243
C1116,C1116,243
C1117,C1117,243
C1118,C1118,243
C1119,C1119,243
C1120,C1120,243
C1121,C1121,243
C1122,C1122,243
C1123,C1123,243
C1124,C1124,243
C1125,C1125,243
