l,r,CCS
S0512,S0512,241
S0514,S0514,241
S0515,S0515,241
S0516,S0516,241
S0518,S0518,241
S0580,S0580,241
S0581,S0581,241
S0590,S0590,241
S0592,S0592,241
S0595,S0595,241
S0596,S0596,241
S0601,S0601,77
S0605,S0605,227
S0610,S0610,227
S0612,S0612,227
S0613,S0613,227
S0618,S0618,220
S0620,S0620,18
S0621,S0621,18
S0622,S0622,227
S0625,S0625,18
S0630,S0630,231
S0800,S0800,19
S0810,S0810,19
S0812,S0812,19
S0820,S0820,18
S0830,S0830,18
S1001,S1001,243
S1002,S1002,243
S1015,S1015,243
S1016,S1016,243
S1025,S1025,243
S1030,S1030,243
S1031,S1031,243
S1034,S1034,243
S1035,S1035,243
S1036,S1036,243
S1037,S1037,243
S1040,S1040,243
S1090,S1090,240
S2050,S2050,75
S2052,S2052,176
S2053,S2053,176
S2054,S2054,176
S2055,S2055,176
S2060,S2060,176
S2061,S2061,36
S2065,S2065,105
S2066,S2066,175
S2067,S2067,174
S2068,S2068,175
S2070,S2070,101
S2075,S2075,87
S2076,S2076,87
S2077,S2077,87
S2078,S2078,124
S2079,S2079,94
S2080,S2080,33
S2082,S2082,87
S2083,S2083,93
S2085,S2085,87
S2090,S2090,112
S2091,S2091,112
S2095,S2095,54
S2102,S2102,176
S2103,S2103,176
S2107,S2107,224
S2109,S2109,240
S2112,S2112,240
S2113,S2113,240
S2114,S2114,149
S2115,S2115,162
S2117,S2117,154
S2118,S2118,153
S2120,S2120,233
S2130,S2130,61
S2131,S2131,61
S2135,S2135,240
S2140,S2140,64
S2142,S2142,222
S2150,S2150,233
S2152,S2152,176
S2180,S2180,222
S2190,S2190,231
S2202,S2202,240
S2204,S2204,44
S2205,S2205,44
S2206,S2206,44
S2207,S2207,44
S2208,S2208,44
S2209,S2209,44
S2210,S2210,231
S2211,S2211,54
S2213,S2213,94
S2215,S2215,70
S2220,S2220,45
S2225,S2225,23
S2230,S2230,26
S2235,S2235,9
S2250,S2250,132
S2255,S2255,121
S2260,S2260,126
S2262,S2262,126
S2265,S2265,126
S2266,S2266,126
S2267,S2267,126
S2270,S2270,131
S2300,S2300,149
S2325,S2325,162
S2340,S2340,42
S2341,S2341,42
S2342,S2342,33
S2344,S2344,33
S2348,S2348,3
S2350,S2350,3
S2351,S2351,3
S2360,S2360,156
S2361,S2361,156
S2362,S2362,148
S2363,S2363,148
S2370,S2370,9
S2371,S2371,9
S2400,S2400,141
S2401,S2401,141
S2402,S2402,141
S2403,S2403,141
S2404,S2404,141
S2405,S2405,141
S2409,S2409,141
S2411,S2411,141
S2900,S2900,237
S3000,S3000,18
S3005,S3005,237
S3600,S3600,243
S3601,S3601,236
S3618,S3618,233
S3620,S3620,233
S3625,S3625,233
S3626,S3626,233
S3628,S3628,235
S3630,S3630,233
S3645,S3645,235
S3650,S3650,235
S3652,S3652,235
S3655,S3655,233
S3700,S3700,233
S3701,S3701,233
S3708,S3708,235
S3711,S3711,235
S3713,S3713,235
S3721,S3721,235
S3722,S3722,240
S3800,S3800,235
S3818,S3818,235
S3819,S3819,235
S3820,S3820,235
S3822,S3822,235
S3823,S3823,235
S3828,S3828,235
S3829,S3829,235
S3830,S3830,235
S3831,S3831,235
S3833,S3833,235
S3834,S3834,235
S3835,S3835,235
S3837,S3837,235
S3840,S3840,235
S3841,S3841,235
S3842,S3842,235
S3843,S3843,235
S3844,S3844,235
S3845,S3845,235
S3846,S3846,235
S3847,S3847,235
S3848,S3848,235
S3849,S3849,235
S3850,S3850,235
S3851,S3851,235
S3852,S3852,235
S3853,S3853,235
S3854,S3854,235
S3855,S3855,235
S3860,S3860,235
S3861,S3861,235
S3862,S3862,235
S3865,S3865,235
S3866,S3866,235
S3870,S3870,235
S3890,S3890,235
S3900,S3900,7
S3902,S3902,62
S3904,S3904,201
S3905,S3905,7
S3906,S3906,222
S4005,S4005,141
S4011,S4011,238
S4013,S4013,238
S4014,S4014,238
S4015,S4015,238
S4016,S4016,238
S4017,S4017,238
S4018,S4018,238
S4020,S4020,238
S4021,S4021,238
S4022,S4022,238
S4023,S4023,238
S4025,S4025,238
S4026,S4026,238
S4027,S4027,235
S4028,S4028,238
S4030,S4030,235
S4031,S4031,235
S4035,S4035,238
S4036,S4036,234
S4037,S4037,238
S4040,S4040,238
S4042,S4042,238
S4980,S4980,240
S4981,S4981,141
S4989,S4989,243
S4990,S4990,240
S4991,S4991,240
S4993,S4993,240
S4995,S4995,240
S5000,S5000,240
S5001,S5001,240
S5002,S5002,243
S5003,S5003,223
S5010,S5010,243
S5011,S5011,243
S5012,S5012,240
S5013,S5013,243
S5014,S5014,240
S5016,S5016,243
S5017,S5017,243
S5018,S5018,243
S5019,S5019,243
S5020,S5020,243
S5021,S5021,243
S5022,S5022,240
S5025,S5025,243
S5035,S5035,236
S5036,S5036,236
S5100,S5100,237
S5101,S5101,237
S5102,S5102,237
S5105,S5105,237
S5108,S5108,236
S5109,S5109,236
S5110,S5110,236
S5111,S5111,236
S5115,S5115,236
S5116,S5116,236
S5120,S5120,236
S5121,S5121,236
S5125,S5125,236
S5126,S5126,236
S5130,S5130,236
S5131,S5131,236
S5135,S5135,236
S5136,S5136,236
S5140,S5140,237
S5141,S5141,237
S5145,S5145,237
S5146,S5146,237
S5150,S5150,237
S5151,S5151,237
S5160,S5160,243
S5161,S5161,243
S5162,S5162,243
S5165,S5165,243
S5170,S5170,236
S5175,S5175,236
S5180,S5180,236
S5181,S5181,236
S5185,S5185,236
S5190,S5190,227
S5199,S5199,236
S5497,S5497,236
S5498,S5498,236
S5501,S5501,236
S5502,S5502,236
S5503,S5503,236
S5517,S5517,236
S5518,S5518,236
S5520,S5520,236
S5521,S5521,236
S5522,S5522,236
S5523,S5523,236
S5550,S5550,240
S5551,S5551,240
S5552,S5552,240
S5553,S5553,240
S5560,S5560,243
S5561,S5561,243
S5565,S5565,243
S5566,S5566,243
S5570,S5570,243
S5571,S5571,243
S8001,S8001,231
S8002,S8002,243
S8003,S8003,243
S8004,S8004,209
S8030,S8030,211
S8032,S8032,178
S8035,S8035,198
S8037,S8037,198
S8040,S8040,7
S8042,S8042,198
S8048,S8048,231
S8049,S8049,211
S8055,S8055,126
S8060,S8060,243
S8075,S8075,182
S8080,S8080,182
S8085,S8085,209
S8092,S8092,180
S8093,S8093,178
S8095,S8095,243
S8096,S8096,243
S8097,S8097,243
S8100,S8100,243
S8101,S8101,243
S8105,S8105,243
S8110,S8110,243
S8120,S8120,243
S8121,S8121,243
S8130,S8130,243
S8131,S8131,243
S8180,S8180,243
S8181,S8181,243
S8182,S8182,243
S8183,S8183,243
S8185,S8185,243
S8186,S8186,243
S8189,S8189,243
S8190,S8190,243
S8200,S8200,243
S8205,S8205,243
S8210,S8210,243
S8260,S8260,243
S8262,S8262,243
S8265,S8265,243
S8270,S8270,243
S8300,S8300,243
S8301,S8301,243
S8400,S8400,243
S8401,S8401,243
S8402,S8402,243
S8403,S8403,243
S8404,S8404,243
S8405,S8405,243
S8415,S8415,243
S8420,S8420,243
S8421,S8421,243
S8422,S8422,243
S8423,S8423,243
S8424,S8424,243
S8425,S8425,243
S8426,S8426,243
S8427,S8427,243
S8428,S8428,243
S8429,S8429,243
S8430,S8430,243
S8431,S8431,243
S8433,S8433,243
S8434,S8434,243
S8450,S8450,243
S8451,S8451,243
S8452,S8452,243
S8460,S8460,243
S8470,S8470,243
S8490,S8490,243
S8930,S8930,213
S8940,S8940,215
S8945,S8945,213
S8948,S8948,231
S8950,S8950,213
S8990,S8990,213
S8999,S8999,243
S9001,S9001,243
S9007,S9007,243
S9015,S9015,199
S9022,S9022,191
S9023,S9023,210
S9024,S9024,192
S9025,S9025,202
S9033,S9033,212
S9034,S9034,230
S9035,S9035,243
S9055,S9055,243
S9056,S9056,231
S9061,S9061,236
S9075,S9075,231
S9083,S9083,237
S9085,S9085,152
S9088,S9088,237
S9090,S9090,8
S9092,S9092,26
S9097,S9097,236
S9098,S9098,236
S9109,S9109,236
S9110,S9110,227
S9117,S9117,227
S9122,S9122,236
S9123,S9123,236
S9124,S9124,236
S9125,S9125,236
S9126,S9126,236
S9127,S9127,237
S9128,S9128,236
S9129,S9129,236
S9131,S9131,236
S9140,S9140,237
S9141,S9141,237
S9145,S9145,237
S9150,S9150,241
S9152,S9152,215
S9200,S9200,236
S9208,S9208,236
S9209,S9209,236
S9210,S9210,236
S9211,S9211,236
S9212,S9212,236
S9213,S9213,236
S9214,S9214,236
S9216,S9216,236
S9217,S9217,236
S9218,S9218,236
S9220,S9220,236
S9225,S9225,236
S9230,S9230,236
S9300,S9300,236
S9308,S9308,236
S9310,S9310,236
S9325,S9325,236
S9326,S9326,236
S9327,S9327,236
S9328,S9328,236
S9329,S9329,236
S9330,S9330,236
S9331,S9331,236
S9335,S9335,236
S9336,S9336,236
S9338,S9338,236
S9339,S9339,236
S9340,S9340,236
S9341,S9341,236
S9342,S9342,236
S9343,S9343,236
S9345,S9345,236
S9346,S9346,236
S9347,S9347,236
S9348,S9348,236
S9349,S9349,236
S9351,S9351,236
S9353,S9353,236
S9355,S9355,236
S9357,S9357,236
S9359,S9359,236
S9361,S9361,236
S9363,S9363,236
S9364,S9364,236
S9365,S9365,236
S9366,S9366,236
S9367,S9367,236
S9368,S9368,236
S9370,S9370,236
S9372,S9372,236
S9373,S9373,236
S9374,S9374,236
S9375,S9375,236
S9376,S9376,236
S9377,S9377,236
S9379,S9379,236
S9381,S9381,239
S9395,S9395,236
S9401,S9401,237
S9420,S9420,236
S9423,S9423,236
S9425,S9425,236
S9430,S9430,237
S9433,S9433,223
S9434,S9434,243
S9435,S9435,243
S9436,S9436,237
S9437,S9437,237
S9438,S9438,237
S9439,S9439,237
S9441,S9441,237
S9442,S9442,237
S9443,S9443,237
S9444,S9444,237
S9445,S9445,237
S9446,S9446,237
S9447,S9447,237
S9449,S9449,237
S9451,S9451,237
S9452,S9452,237
S9453,S9453,237
S9454,S9454,237
S9455,S9455,237
S9460,S9460,237
S9465,S9465,237
S9470,S9470,237
S9472,S9472,215
S9473,S9473,215
S9474,S9474,231
S9475,S9475,219
S9476,S9476,215
S9480,S9480,218
S9482,S9482,237
S9484,S9484,218
S9485,S9485,218
S9490,S9490,236
S9494,S9494,236
S9497,S9497,236
S9500,S9500,236
S9501,S9501,236
S9502,S9502,236
S9503,S9503,236
S9504,S9504,236
S9524,S9524,236
S9526,S9526,236
S9527,S9527,54
S9528,S9528,54
S9529,S9529,235
S9533,S9533,231
S9535,S9535,240
S9537,S9537,236
S9538,S9538,236
S9539,S9539,240
S9542,S9542,236
S9543,S9543,240
S9545,S9545,240
S9546,S9546,236
S9550,S9550,236
S9555,S9555,236
S9558,S9558,236
S9559,S9559,236
S9560,S9560,236
S9562,S9562,236
S9590,S9590,236
S9800,S9800,236
S9802,S9802,236
S9803,S9803,236
S9806,S9806,231
S9810,S9810,236
S9900,S9900,237
S9901,S9901,237
S9960,S9960,239
S9961,S9961,239
S9970,S9970,237
S9975,S9975,239
S9976,S9976,237
S9977,S9977,237
S9981,S9981,237
S9982,S9982,237
S9986,S9986,237
S9988,S9988,237
S9989,S9989,237
S9990,S9990,237
S9991,S9991,237
S9992,S9992,239
S9994,S9994,237
S9996,S9996,237
S9999,S9999,237
T1000,T1000,237
T1001,T1001,237
T1002,T1002,237
T1003,T1003,237
T1004,T1004,237
T1005,T1005,237
T1006,T1006,219
T1007,T1007,219
T1008,T1008,219
T1009,T1009,219
T1010,T1010,219
T1011,T1011,219
T1012,T1012,219
T1013,T1013,237
T1014,T1014,237
T1015,T1015,227
T1016,T1016,237
T1017,T1017,237
T1018,T1018,237
T1019,T1019,236
T1020,T1020,236
T1021,T1021,236
T1022,T1022,236
T1023,T1023,237
T1024,T1024,237
T1025,T1025,237
T1026,T1026,237
T1027,T1027,237
T1028,T1028,236
T1029,T1029,236
T1030,T1030,236
T1031,T1031,236
T1040,T1040,218
T1041,T1041,218
T1500,T1500,243
T1502,T1502,240
T1503,T1503,240
T1505,T1505,243
T1999,T1999,243
T2001,T2001,239
T2002,T2002,239
T2003,T2003,239
T2004,T2004,239
T2005,T2005,239
T2006,T2006,239
T2007,T2007,239
T2010,T2010,237
T2011,T2011,237
T2012,T2012,237
T2013,T2013,237
T2014,T2014,237
T2015,T2015,237
T2016,T2016,237
T2017,T2017,237
T2018,T2018,237
T2019,T2019,237
T2020,T2020,237
T2021,T2021,237
T2022,T2022,237
T2023,T2023,237
T2024,T2024,237
T2025,T2025,237
T2026,T2026,237
T2027,T2027,237
T2028,T2028,243
T2029,T2029,243
T2030,T2030,237
T2031,T2031,237
T2032,T2032,237
T2033,T2033,237
T2034,T2034,237
T2035,T2035,237
T2036,T2036,237
T2037,T2037,237
T2038,T2038,237
T2039,T2039,243
T2040,T2040,237
T2041,T2041,237
T2042,T2042,236
T2043,T2043,236
T2044,T2044,237
T2045,T2045,237
T2046,T2046,237
T2048,T2048,218
T2049,T2049,239
T2101,T2101,243
T4521,T4521,243
T4522,T4522,243
T4523,T4523,243
T4524,T4524,243
T4525,T4525,243
T4526,T4526,243
T4527,T4527,243
T4528,T4528,243
T4529,T4529,243
T4530,T4530,243
T4531,T4531,243
T4532,T4532,243
T4533,T4533,243
T4534,T4534,243
T4535,T4535,243
T4536,T4536,243
T4537,T4537,243
T4538,T4538,243
T4539,T4539,243
T4540,T4540,243
T4541,T4541,243
T4542,T4542,243
T4543,T4543,243
T4544,T4544,243
T4545,T4545,243
T5001,T5001,243
T5999,T5999,243
V2020,V2020,241
V2025,V2025,241
V2100,V2100,241
V2101,V2101,241
V2102,V2102,241
V2103,V2103,241
V2104,V2104,241
V2105,V2105,241
V2106,V2106,241
V2107,V2107,241
V2108,V2108,241
V2109,V2109,241
V2110,V2110,241
V2111,V2111,241
V2112,V2112,241
V2113,V2113,241
V2114,V2114,241
V2115,V2115,241
V2116,V2116,241
V2117,V2117,241
V2118,V2118,241
V2121,V2121,241
V2199,V2199,241
V2200,V2200,241
V2201,V2201,241
V2202,V2202,241
V2203,V2203,241
V2204,V2204,241
V2205,V2205,241
V2206,V2206,241
V2207,V2207,241
V2208,V2208,241
V2209,V2209,241
V2210,V2210,241
V2211,V2211,241
V2212,V2212,241
V2213,V2213,241
V2214,V2214,241
V2215,V2215,241
V2216,V2216,241
V2217,V2217,241
V2218,V2218,241
V2219,V2219,241
V2220,V2220,241
V2221,V2221,241
V2299,V2299,241
V2300,V2300,241
V2301,V2301,241
V2302,V2302,241
V2303,V2303,241
V2304,V2304,241
V2305,V2305,241
V2306,V2306,241
V2307,V2307,241
V2308,V2308,241
V2309,V2309,241
V2310,V2310,241
V2311,V2311,241
V2312,V2312,241
V2313,V2313,241
V2314,V2314,241
V2315,V2315,241
V2316,V2316,241
V2317,V2317,241
V2318,V2318,241
V2319,V2319,241
V2320,V2320,241
V2321,V2321,241
V2399,V2399,241
V2410,V2410,241
V2430,V2430,241
V2499,V2499,241
V2500,V2500,241
V2501,V2501,241
V2502,V2502,241
V2503,V2503,241
V2510,V2510,241
V2511,V2511,241
V2512,V2512,241
V2513,V2513,241
V2520,V2520,241
V2521,V2521,241
V2522,V2522,241
V2523,V2523,241
V2530,V2530,241
V2531,V2531,241
V2599,V2599,241
V2600,V2600,241
V2610,V2610,241
V2615,V2615,241
V2623,V2623,241
V2624,V2624,241
V2625,V2625,241
V2626,V2626,241
V2627,V2627,241
V2628,V2628,241
V2629,V2629,241
V2630,V2630,241
V2631,V2631,241
V2632,V2632,241
V2700,V2700,241
V2702,V2702,241
V2710,V2710,241
V2715,V2715,241
V2718,V2718,241
V2730,V2730,241
V2740,V2740,241
V2741,V2741,241
V2742,V2742,241
V2743,V2743,241
V2744,V2744,241
V2745,V2745,241
V2750,V2750,241
V2755,V2755,241
V2756,V2756,241
V2760,V2760,241
V2761,V2761,241
V2762,V2762,241
V2770,V2770,241
V2780,V2780,241
V2781,V2781,241
V2782,V2782,241
V2783,V2783,241
V2784,V2784,241
V2785,V2785,241
V2786,V2786,241
V2787,V2787,241
V2788,V2788,241
V2790,V2790,241
V2797,V2797,241
V2799,V2799,241
V5008,V5008,220
V5010,V5010,220
V5011,V5011,242
V5014,V5014,242
V5020,V5020,220
V5030,V5030,242
V5040,V5040,242
V5050,V5050,242
V5060,V5060,242
V5070,V5070,242
V5080,V5080,242
V5090,V5090,242
V5095,V5095,242
V5100,V5100,242
V5110,V5110,242
V5120,V5120,242
V5130,V5130,242
V5140,V5140,242
V5150,V5150,242
V5160,V5160,242
V5170,V5170,242
V5171,V5171,242
V5172,V5172,242
V5180,V5180,242
V5181,V5181,242
V5190,V5190,242
V5200,V5200,242
V5210,V5210,242
V5211,V5211,242
V5212,V5212,242
V5213,V5213,242
V5214,V5214,242
V5215,V5215,242
V5220,V5220,242
V5221,V5221,242
V5230,V5230,242
V5240,V5240,242
V5241,V5241,242
V5242,V5242,242
V5243,V5243,242
V5244,V5244,242
V5245,V5245,242
V5246,V5246,242
V5247,V5247,242
V5248,V5248,242
V5249,V5249,242
V5250,V5250,242
V5251,V5251,242
V5252,V5252,242
V5253,V5253,242
V5254,V5254,242
V5255,V5255,242
V5256,V5256,242
V5257,V5257,242
V5258,V5258,242
V5259,V5259,242
V5260,V5260,242
V5261,V5261,242
V5262,V5262,242
V5263,V5263,242
V5264,V5264,242
V5265,V5265,242
V5266,V5266,242
V5267,V5267,242
V5268,V5268,242
V5269,V5269,242
V5270,V5270,242
V5271,V5271,242
V5272,V5272,242
V5273,V5273,242
V5274,V5274,242
V5275,V5275,242
V5281,V5281,242
V5282,V5282,242
V5283,V5283,242
V5284,V5284,242
V5285,V5285,242
V5286,V5286,242
V5287,V5287,242
V5288,V5288,242
V5289,V5289,242
V5290,V5290,242
V5298,V5298,242
V5299,V5299,220
V5336,V5336,243
V5362,V5362,215
V5363,V5363,215
V5364,V5364,227
